"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42","Get exercise","LMS service","Mon Mar 09 20:55:22 UTC 2026","passed","Mon Mar 09 20:55:22 UTC 2026","Get entity","Exercises","",""
"","43","Get exercises","LMS service","Mon Mar 09 20:55:19 UTC 2026","passed","Mon Mar 09 20:55:19 UTC 2026","Get entities","Exercises","",""
"","312","Get courses","LMS service","Mon Mar 09 20:55:19 UTC 2026","passed","Mon Mar 09 20:55:19 UTC 2026","Get entities","Courses","",""
"","1048","Get file","LMS service","Mon Mar 09 20:55:22 UTC 2026","passed","Mon Mar 09 20:55:23 UTC 2026","Get entity","Files","",""
"
Тест создания нового юзера с разными параметрами доменов
:param public_users_client - клиент для создания пользователей
:param email - параметр домена для генерации почты
","279","CREATE_ENTITY","LMS service","Mon Mar 09 20:55:24 UTC 2026","passed","Mon Mar 09 20:55:25 UTC 2026","Create entity","Users","",""
"","304","Update exercise","LMS service","Mon Mar 09 20:55:19 UTC 2026","passed","Mon Mar 09 20:55:19 UTC 2026","Update entity","Exercises","",""
"
Тест создания нового юзера с разными параметрами доменов
:param public_users_client - клиент для создания пользователей
:param email - параметр домена для генерации почты
","1008","CREATE_ENTITY","LMS service","Mon Mar 09 20:55:23 UTC 2026","passed","Mon Mar 09 20:55:24 UTC 2026","Create entity","Users","",""
"
Тест на получение данных авторизованного пользователя через /api/v1/users/me.

Использует фикстуру private_users_client для автоматической аутентификации.
Проверяет, что возвращённые данные совпадают с данными созданного пользователя.

:param private_users_client: Авторизованный клиент для доступа к приватным эндпоинтам.
:param function_user: Фикстура с данными созданного пользователя.
","13","Get user me","LMS service","Mon Mar 09 20:55:26 UTC 2026","passed","Mon Mar 09 20:55:26 UTC 2026","Get entity","Users","",""
"","38","Create exercise","LMS service","Mon Mar 09 20:55:19 UTC 2026","passed","Mon Mar 09 20:55:19 UTC 2026","Create entity","Exercises","",""
"
Тест успешной авторизации пользователя в системе.
 Описание шагов:
1. Создаётся новый пользователь.
2. Выполняется запрос на авторизацию.
3. Проверяется статус-код ответа.
4. Проверяется структура и содержание токена в ответе.
","795","Correct login","LMS service","Mon Mar 09 20:55:17 UTC 2026","passed","Mon Mar 09 20:55:18 UTC 2026","Login","Authentication","",""
"","333","Create course","LMS service","Mon Mar 09 20:55:22 UTC 2026","passed","Mon Mar 09 20:55:22 UTC 2026","Create entity","Courses","",""
"
Тест создания нового юзера с разными параметрами доменов
:param public_users_client - клиент для создания пользователей
:param email - параметр домена для генерации почты
","1031","CREATE_ENTITY","LMS service","Mon Mar 09 20:55:24 UTC 2026","passed","Mon Mar 09 20:55:25 UTC 2026","Create entity","Users","",""
"
Тест проверки авторизации и получения данных пользователя.

:param public_users_client: Клиент для взаимодействия с публичным API пользователей.
:param authentication_client: Клиент для выполнения операций аутентификации.
:param function_user: Фикстура, возвращающая данные созданного и авторизованного пользователя.

","314","Create and check user","LMS service","Mon Mar 09 20:55:26 UTC 2026","passed","Mon Mar 09 20:55:26 UTC 2026","Create entity","Users","",""
"","41","Delete exercise","LMS service","Mon Mar 09 20:55:22 UTC 2026","passed","Mon Mar 09 20:55:22 UTC 2026","Delete entity","Exercises","",""
"","769","Create file with incorrect directory","LMS service","Mon Mar 09 20:55:23 UTC 2026","passed","Mon Mar 09 20:55:24 UTC 2026","Validate entity","Files","",""
"
Тест проверяет обработку некорректного file_id при запросе файла.

Проверяет, что API возвращает статус 422 и корректное сообщение валидационной ошибки,
когда передается некорректный идентификатор файла (не UUID).
","22","Get file with incorrect file id","LMS service","Mon Mar 09 20:55:24 UTC 2026","passed","Mon Mar 09 20:55:24 UTC 2026","Validate entity","Files","",""
"","1611","Update course","LMS service","Mon Mar 09 20:55:19 UTC 2026","passed","Mon Mar 09 20:55:21 UTC 2026","Update entity","Courses","",""
"","37","Delete file","LMS service","Mon Mar 09 20:55:24 UTC 2026","passed","Mon Mar 09 20:55:24 UTC 2026","Delete entity","Files","",""
"","559","Create file","LMS service","Mon Mar 09 20:55:21 UTC 2026","passed","Mon Mar 09 20:55:22 UTC 2026","Create entity","Files","",""
"","241","Create file with incorrect filename","LMS service","Mon Mar 09 20:55:24 UTC 2026","passed","Mon Mar 09 20:55:24 UTC 2026","Validate entity","Files","",""
